['r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_thumb_z', 'r_thumb_x', 'r_indexfinger_x', 'r_middlefingers_x', 'x', 'y']
[24.0, 46.1, 26.0, 130.9, 156.2, 133.4, -68.5, 35.7, -180.0, 172.7, 0.3387500047683716, 0.6407407522201538]
[14.2, 50.9, 26.1, 139.9, 158.1, 118.7, -69.1, 41.8, -179.0, 171.9, 0.15833333134651184, 0.6525925993919373, 37]
[18.4, 50.9, 26.2, 139.9, 157.2, 118.7, -69.1, 41.8, -179.0, 171.9, 0.23083333671092987, 0.6807407140731812, 37]
[21.2, 50.9, 26.2, 139.9, 158.1, 118.7, -69.1, 41.8, -179.0, 171.9, 0.2787500023841858, 0.6918518543243408, 37]
[6.1, 42.2, 16.7, 124.3, 165.5, 113.7, -69.8, 42.5, -179.9, 171.9, 0.17624999582767487, 0.5207407474517822, 37]
[2.6, 42.2, 16.7, 124.3, 165.9, 118.7, -69.8, 42.5, -179.9, 171.9, 0.12083332985639572, 0.49481481313705444, 37]
[26.1, 42.2, 16.7, 124.5, 164.3, 115.2, -69.8, 42.5, -179.7, 173.0, 0.492083340883255, 0.5592592358589172, 37]
[29.4, 42.2, 16.7, 124.3, 164.5, 120.1, -69.8, 42.5, -179.9, 173.0, 0.5537499785423279, 0.5392592549324036, 37]
[33.8, 42.2, 16.7, 124.4, 164.6, 115.2, -69.8, 42.5, -179.9, 171.9, 0.6083333492279053, 0.5192592740058899, 37]
[37.4, 42.2, 16.7, 124.4, 165.5, 116.1, -69.8, 42.5, -179.9, 173.0, 0.6812499761581421, 0.47999998927116394, 37]
[43.2, 42.4, 17.6, 126.3, 164.6, 118.8, -69.5, 39.5, -179.9, 172.9, 0.7350000143051147, 0.4651851952075958, 39]
[26.2, 50.5, 25.1, 138.5, 158.2, 116.9, -69.3, 43.3, -179.0, 173.1, 0.37708333134651184, 0.6911110877990723, 36]
[47.8, 42.4, 17.7, 126.3, 164.2, 119.8, -69.5, 39.5, -179.9, 171.6, 0.79708331823349, 0.4118518531322479, 39]
